date,Open,High,Low,Close,Adj_Close,Volume
1994-04-01,3.61,3.89,3.53,3.86,3.86,
1994-05-01,3.85,4.3,3.85,4.17,4.17,
1994-06-01,4.21,4.21,4.08,4.14,4.14,
1994-07-01,4.13,4.51,4.13,4.27,4.27,
1994-08-01,4.28,4.65,4.28,4.56,4.56,
1994-09-01,4.55,4.82,4.48,4.67,4.67,
1994-10-01,4.65,5.08,4.65,5.02,5.02,
1994-11-01,5.06,5.59,5.06,5.55,5.55,
1994-12-01,5.57,5.83,5.37,5.53,5.53,
1995-01-01,5.55,5.84,5.52,5.84,5.84,
1995-02-01,5.82,5.89,5.63,5.75,5.75,
1995-03-01,5.76,5.82,5.64,5.7,5.7,
1995-04-01,5.69,5.74,5.56,5.69,5.69,
1995-05-01,5.7,5.73,5.55,5.63,5.63,
1995-06-01,5.62,5.62,5.33,5.43,5.43,
1995-07-01,5.42,5.53,5.34,5.42,5.42,
1995-08-01,5.42,5.49,5.27,5.27,5.27,
1995-09-01,5.28,5.36,5.17,5.24,5.24,
1995-10-01,5.27,5.35,5.2,5.31,5.31,
1995-11-01,5.34,5.44,5.27,5.32,5.32,
1995-12-01,5.32,5.35,4.83,4.96,4.96,
1996-01-01,4.94,5.06,4.91,4.91,4.91,
1996-02-01,4.91,4.91,4.75,4.88,4.88,
1996-03-01,4.86,5.06,4.84,5.0,5.0,
1996-04-01,4.99,5.04,4.81,5.01,5.01,
1996-05-01,5.0,5.06,4.96,5.04,5.04,
1996-06-01,5.05,5.15,5.02,5.03,5.03,
1996-07-01,5.04,5.23,5.04,5.18,5.18,
1996-08-01,5.16,5.18,4.99,5.14,5.14,
1996-09-01,5.19,5.29,4.85,4.91,4.91,
1996-10-01,5.01,5.04,4.83,5.01,5.01,
1996-11-01,5.01,5.04,4.99,4.99,4.99,
1996-12-01,5.0,5.07,4.77,5.05,5.05,
1997-01-01,5.05,5.06,4.98,5.01,5.01,
1997-02-01,5.01,5.08,4.94,5.07,5.07,
1997-03-01,5.09,5.27,5.03,5.17,5.17,
1997-04-01,5.18,5.2,5.08,5.1,5.1,
1997-05-01,5.1,5.27,4.79,4.82,4.82,
1997-06-01,4.81,5.05,4.78,5.05,5.05,
1997-07-01,5.11,5.13,4.92,5.1,5.1,
1997-08-01,5.08,5.19,5.05,5.09,5.09,
1997-09-01,5.09,5.09,4.73,4.97,4.97,
1997-10-01,4.96,5.12,4.84,5.06,5.06,
1997-11-01,5.08,5.2,5.06,5.06,5.06,
1997-12-01,5.07,5.37,5.0,5.2,5.2,
1998-01-01,5.2,5.21,4.8,5.04,5.04,
1998-02-01,5.06,5.2,4.97,5.18,5.18,
1998-03-01,5.18,5.19,4.93,4.99,4.99,
1998-04-01,4.99,5.07,4.85,4.85,4.85,
1998-05-01,4.86,5.1,4.83,4.89,4.89,
1998-06-01,4.88,5.1,4.84,4.97,4.97,
1998-07-01,4.96,5.02,4.9,4.95,4.95,
1998-08-01,4.95,4.98,4.74,4.76,4.76,
1998-09-01,4.8,4.8,4.23,4.25,4.25,
1998-10-01,4.23,4.29,3.53,4.21,4.21,
1998-11-01,4.23,4.58,4.23,4.42,4.42,
1998-12-01,4.4,4.5,4.29,4.35,4.35,
1999-01-01,4.35,4.42,4.18,4.36,4.36,
1999-02-01,4.38,4.55,4.35,4.55,4.55,
1999-03-01,4.55,4.58,4.35,4.36,4.36,
1999-04-01,4.37,4.43,4.15,4.43,4.43,
1999-05-01,4.43,4.57,4.43,4.51,4.51,
1999-06-01,4.53,4.76,4.39,4.67,4.67,
1999-07-01,4.64,4.67,4.43,4.62,4.62,
1999-08-01,4.62,4.87,4.55,4.85,4.85,
1999-09-01,4.83,4.83,4.54,4.71,4.71,
1999-10-01,4.73,5.01,4.65,4.96,4.96,
1999-11-01,4.97,5.18,4.93,5.15,5.15,
1999-12-01,5.15,5.44,4.97,5.17,5.17,
2000-01-01,5.23,5.53,5.2,5.53,5.53,
2000-02-01,5.56,5.68,5.4,5.64,5.64,
2000-03-01,5.61,5.78,5.59,5.72,5.72,
2000-04-01,5.71,5.74,5.57,5.65,5.65,
2000-05-01,5.67,6.05,5.49,5.49,5.49,
2000-06-01,5.43,5.85,5.41,5.7,5.7,
2000-07-01,5.71,6.04,5.71,6.02,6.02,
2000-08-01,6.07,6.14,5.98,6.11,6.11,
2000-09-01,6.11,6.11,5.88,6.03,6.03,
2000-10-01,6.03,6.18,5.95,6.15,6.15,
2000-11-01,6.17,6.23,6.0,6.01,6.01,
2000-12-01,6.05,6.05,5.09,5.73,5.73,
2001-01-01,5.71,5.76,4.82,4.84,4.84,
2001-02-01,4.83,4.95,4.62,4.72,4.72,
2001-03-01,4.7,4.75,4.13,4.18,4.18,
2001-04-01,4.17,4.19,3.59,3.83,3.83,
2001-05-01,3.77,3.82,3.47,3.54,3.54,
2001-06-01,3.53,3.6,3.33,3.56,3.56,
2001-07-01,3.63,3.63,3.42,3.44,3.44,
2001-08-01,3.45,3.46,3.27,3.28,3.28,
2001-09-01,3.28,3.38,2.14,2.3,2.3,
2001-10-01,2.31,2.34,1.98,2.01,2.01,
2001-11-01,1.99,2.04,1.73,1.73,1.73,
2001-12-01,1.73,1.75,1.6,1.67,1.67,
2002-01-01,1.7,1.73,1.54,1.72,1.72,
2002-02-01,1.73,1.75,1.66,1.72,1.72,
2002-03-01,1.73,1.83,1.73,1.74,1.74,
2002-04-01,1.75,1.78,1.65,1.73,1.73,
2002-05-01,1.73,1.8,1.69,1.71,1.71,
2002-06-01,1.7,1.72,1.63,1.66,1.66,
2002-07-01,1.66,1.7,1.57,1.66,1.66,
2002-08-01,1.67,1.67,1.56,1.64,1.64,
2002-09-01,1.63,1.67,1.53,1.53,1.53,
2002-10-01,1.53,1.66,1.41,1.42,1.42,
